voicetype,voicefile,transcript
malegroupraiderdc,fallout3.esm\malegroupraiderdc\genericrai_raidertalkupnor_00028d43_1.ogg,"One of 'em came back last night, screamin' about claws and fangs and shit. He said they ran into a bunch of monsters a few miles north of the city."
malegrouptaloncompany,fallout3.esm\malegrouptaloncompany\generictaloncompany_attack_00088def_1.ogg,I want this one's head on a fucking plate!
maleold01,falloutnv.esm\maleold01\primmnashd_primmnashdialog_0015fc7b_2.ogg,"{Delivered as ""right as rain""}I said, sure as lack of rain, you were still kicking. {Beat, slightly incredulous}Then he turned down the job, just like that. I asked if he was sure, it was good money."
maleold01dc,fallout3.esm\maleold01dc\convparadi_pftalkbleakbrea_0003c143_1.ogg,"You're not just getting yourself in trouble here, girl. You need to relax. Work with 'em. It ain't so bad once you adjust. I've been here for almost-"
maleold02,falloutnv.esm\maleold02\ves34vault_greeting_0015e9d5_1.ogg,"{Dumbfounded}Why are the outlanders killing each other? Why do they treat us like machines?{Lamenting his fate} I wish we had remained in the safety, and sanity, of our Vault."
maleuniqueahzrukhal,fallout3.esm\maleuniqueahzrukhal\convunderw_underworldtalka_00032b9f_1.ogg,"Stop serving him? This is a bar. How am I supposed to make money if I'm not serving booze? If he's got money, I'll give him whatever he asks for."
maleuniquearcade,falloutnv.esm\maleuniquearcade\vdialoguea_greeting_001611c9_1.ogg,"I've read about REPCONN. I think they did some work with the... {catching himself, was about to say ""Enclave""} the government before the war. Rockets and some energy weapon prototypes, I think."
maleuniqueautumn,fallout3.esm\maleuniqueautumn\radioencla_radioenclavespe_00045b2a_1.ogg,"When you see the Enclave, you see the United States government. We are authorized to restore order and civility, by any means necessary."
maleuniquebenny,falloutnv.esm\maleuniquebenny\vdialoguebenny_greeting_00147872_1.ogg,"{FIRST TALK, NO AMBUSH}{mock scolding}Why you little promise-breaker! {effeminate voice}""Let me live, Benny, and I'll never come after you - pinky swear!"" What a fink! Anyway..."
maleuniquebigsal,falloutnv.esm\maleuniquebigsal\vdialogueg_vdialoguegomorr_00125f42_2.ogg,"First we're going to blow the Embassy, then we're going to use soldiers to kill every last motherfucker on the Strip. Then we'll run this joint."
maleuniquebillyknight,falloutnv.esm\maleuniquebillyknight\vmstopstal_vmstopstalentpo_00120003_1.ogg,"Hey, now, come on! I prefer the term ""outdoor entertainment bonanza."" Besides, have you seen the caps whores make in this town? I should be so lucky!"
maleuniquebiwwy,fallout3.esm\maleuniquebiwwy\genericlit_pickpocket_00080da6_1.ogg,Thought I wouldn't notice your fat fingers going through my pockets?
maleuniquebrotch,fallout3.esm\maleuniquebrotch\cg03_cg03brotchspeech_00035e76_1.ogg,"Question 5. Your grandmother invites you to tea, but you’re surprised when she gives you a pistol, and orders you to kill another vault resident."
maleuniquebutch,fallout3.esm\maleuniquebutch\ms16_ms16snakes2_00057053_1.ogg,"Freddie, there's more to this than just getting out of the dorm. It's about freedom and standing up to the Man! Tunnel Snakes rule!"
maleuniquebutchkid,fallout3.esm\maleuniquebutchkid\cg02_goodbye_0005ad4f_1.ogg,"I'll tell you one person who's not going to be in it. You! Ha ha ha. Just kidding, Paul. No I wasn't. Yes I was. Psych! Ha ha ha."
maleuniquebutton,fallout3.esm\maleuniquebutton\ms15_ms15buttoncct02_000200e9_1.ogg,"Remember, the will of the people is the only legitimate foundation of any government, and to protect its free expression should be our first object."
maleuniquecaesar,falloutnv.esm\maleuniquecaesar\vdialoguec_vdialoguecaesar_00163c03_3.ogg,"He accepted... on condition that he be allowed to kill the surviving males of his tribe. {chuckle}I said, make it the {emph}adult males and you have a deal.{Children are malleable and thus valuable to the Legion.}"
maleuniquechinesetroop,fallout3.esm\maleuniquechinesetroop\mq04_mq04soldier1_000c10f8_1.ogg,"The People's Republic of China claims this land as its own! Your evil, materialistic ways are at an end, American dogs! Men, open fire!"
maleuniquecolonelhsu,falloutnv.esm\maleuniquecolonelhsu\vms08_greeting_000ee686_2.ogg,It's a key to a little hideaway south of here. We've used it as a place for Rangers to rest and resupply. I thought you might get good use out of it.
maleuniquecraigboone,falloutnv.esm\maleuniquecraigboone\vending_vendingboone_0015d165_1.ogg,"{Narration}Though NCR was withdrawing from the region, Boone remained in New Vegas, finding work as a security guard and caravan scout along the highways."
maleuniquecromwell,fallout3.esm\maleuniquecromwell\dialogueme_megcromwellpray_000221b8_1.ogg,Behold! He is coming with the clouds! And every eye shall be blind with his glory! Every ear shall be stricken deaf to hear the thunder of his voice!
maleuniquedad,fallout3.esm\maleuniquedad\mq05conver_mq05dadbroadcas_0001f94c_1.ogg,"I'd like to thank you all for returning to this project after so many years. I know some of you thought; like me, that this day would never come."
maleuniquedocmitchell,falloutnv.esm\maleuniquedocmitchell\vending_vendinggoodsprings_00161ff2_1.ogg,"{narrating}Goodsprings saw more trade along I-15 after NCR gained control of the Mojave Wasteland, but with that came a heavy burden of the Republic's taxes."
maleuniquedukov,fallout3.esm\maleuniquedukov\ms14_ms14dukovrecordednote_0004e317_1.ogg,"Tara's dead. Crowley fucked up and got her killed. Fucking Ghoul. When I'm done, he'll sniff butts with the ferals for the rest of his life."
maleuniqueelderlyons,fallout3.esm\maleuniqueelderlyons\convcitade_cittalkshortgen_000ba734_1.ogg,"There's been another Behemoth sighted in the Wasteland, in the Evergreen Mills region. That's heavy Raider country, so things could get interesting."
maleuniqueeulogy,ttw new vegas speech checks.esm\maleuniqueeulogy\mq07_mq07eulogypricespeech_001012b6_2.ogg,"So right now, I'm not looking fondly on you. You want something from me, we do a straight-up deal. You don't try and pull one over on me."
maleuniquehanlon,falloutnv.esm\maleuniquehanlon\vcampgolfh_vcampgolfhanlon_00156f30_1.ogg,"{smiling a bit}You have, have you? {Beat, more somber}Misdirection. When you're pinned down, outnumbered, and two days from any help, it's just about the best friend you can have."
maleuniqueharkness,fallout3.esm\maleuniqueharkness\ms08_ms08harknessend3a_000257b3_1.ogg,"[FAILED] You're right. It's probably not safe for me here. But from the sound of the man on that recording, it's not safe for me in the Commonwealth either."
maleuniqueharold,fallout3.esm\maleuniqueharold\ms10_greeting_00066cc1_1.ogg,See Herbert? Now that's a nice person for you. Why can't you be more like that!
maleuniquejasonbright,falloutnv.esm\maleuniquejasonbright\vdialoguej_jasonbrightspee_0008d401_1.ogg,"The Journey ahead would have been impossible if not for the intercession of two human friends, one new, the other a long-abiding companion."
maleuniquejericho,fallout3.esm\maleuniquejericho\convmegaton_megatontalk2_0001f25c_1.ogg,"I heard something about you, boy. I heard that you was a scout for the Raiders, here to recoin.. recon... err... check out our defenses. That true?"
maleuniquelanius,falloutnv.esm\maleuniquelanius\vfreeformh_vfreeformhoover_00159422_1.ogg,"[SUCCEEDED] {Takes a ragged, angry breath}The West's treatment of bitches such as you is their weakness. {Beat, second thought}But... by my honor, I shall face you alone, as you request."
maleuniquelesko,fallout3.esm\maleuniquelesko\ms04_ms04doctorleskoreward_000c1a67_1.ogg,[FAILED] Why can't man follow the ant's example? They work together as a team... every waking moment dedicated to the colony.
maleuniquemaccready,fallout3.esm\maleuniquemaccready\dialogueli_lllunchconv4_0003a892_1.ogg,"We're working on it, Lucy, we really fucking are. More than Eclair's food and Joseph's precious books, at least. Just keep 'em from dirting out."
maleuniquemisterburke,fallout3.esm\maleuniquemisterburke\ms11_ms11burkeandphillips_00070d04_1.ogg,"Is that so? Do it then, Phillips. Set your feral pets upon me. I could use a bit of sport. After I’ve dealt with them, I'll turn my attention to you."
maleuniquemoriarty,fallout3.esm\maleuniquemoriarty\convmegaton_megatontalk3_0001764e_1.ogg,"*Sigh* Our heavenly Father put you on this earth to test me, is that it? 'Dear Lord, save me from the whinings of thine whore who doth complaineth!'"
maleuniquemq08sid,fallout3.esm\maleuniquemq08sid\mq08_greeting_000a6d47_1.ogg,No! It's all over me! I can feel it... it's invading my mind!
maleuniquemrnewvegas,falloutnv.esm\maleuniquemrnewvegas\radionewve_rnvnewsstory2_0014e822_1.ogg,"Asked to comment, Big Sal said, quote, {calmly}the fuck you looking at? You wearing a wire? Are you? I'll break your fucking kneecaps. Hey. Get back here."
maleuniquenarrator,falloutnv.esm\maleuniquenarrator\vending_vendingcourierfema_0016200c_1.ogg,"{Narration, Good Karma, House Victory, Female}The Courier, fair and kind-hearted to those in the Wasteland, ensured that Mr. House would keep New Vegas stable and secure for future generations."
maleuniqueoverseer,ttw new vegas speech checks.esm\maleuniqueoverseer\ms16_ms16optionsstopyou2a_00111989_1.ogg,"[SUCCEEDED] I admit, in the 200 years since the war, our numbers have dwindled a little. But we have enough genetic diversity for... a few more generations."
maleuniquepapakhan,falloutnv.esm\maleuniquepapakhan\vgenericre_vdialoguethestr_00175110_1.ogg,"{A little uncertain and scared of the player}Uhh, hey. Welcome to Red Rock Canyon. You've seemed a little bipolar lately - maybe you're having withdrawal symptoms?"
maleuniquepaulhannonkid,fallout3.esm\maleuniquepaulhannonkid\cg02_cg02tunnelsnaketalk3_0005ad2e_1.ogg,"Isn't being a gang a little stupid? I mean, basically everyone we know is going to be in it."
maleuniquepresident,fallout3.esm\maleuniquepresident\radioencla_radioenclavespe_000458fe_1.ogg,"But rest assured, I am your President because the appropriate people of this great nation decided I should be! I AM your duly elected representative."
maleuniquerothchild,fallout3.esm\maleuniquerothchild\convcitade_cittalkshortgen_000ba734_1.ogg,"There's been another Behemoth sighted in the Wasteland, in the Evergreen Mills region. That's heavy Raider country, so things could get interesting."
maleuniquesimms,fallout3.esm\maleuniquesimms\convmegaton_megatontalk3_0001763b_1.ogg,"Oh man. I did say that, didn't I? Okay. Yeah, yeah we can do that. I've got some stuff to take care of, but after that, it's you and me! Okay, pal?"
maleuniquetenpenny,fallout3.esm\maleuniquetenpenny\ms11_ms11nukeview_0006eb58_1.ogg,Quite right. And you are to offer him the reward we discussed. Now... all this bright light and wind has given me quite a thirst. Where's my scotch?
maleuniquetheking,falloutnv.esm\maleuniquetheking\vending_vendingkings_0015fd31_1.ogg,"{Narrating}The Kings retained their control of Freeside, and while they continued to favor the needs of locals, they tolerated the citizens of the defeated NCR."
maleuniquethreedog,fallout3.esm\maleuniquethreedog\radiogalax_radiognrplayerk_00058083_1.ogg,"Question. Is there a God, and if so, does he give a shit about the rest of us? I was skeptical, but that was before a certain Saint from Vault 101..."
maleuniquetimmy,fallout3.esm\maleuniquetimmy\genericfri_hit_0007c703_1.ogg,Don't do that again. Last warning.
maleuniquevault101pa,fallout3.esm\maleuniquevault101pa\radiovault101pa_radiohello_0007160f_1.ogg,"Remember - Vault Depressive Syndrome, or V.D.S., is a treatable condition. See your vault physician today for an antidepressant that's right for you."
maleuniquevulpe,falloutnv.esm\maleuniquevulpe\vfreeformthefort_greeting_001579ab_1.ogg,"{Caeser cured}I'm pleased that you were able to cure {KAI-zar's}Caesar's malady. Though the Legate is a fine leader, we yet need the wisdom of {KAI-zar}Caesar to guide the Legion."
nvdlc01creatureuniquedog,deadmoney.esm\nvdlc01creatureuniquedog\nvdlc01dog_nvdlc01dogdialo_00012ae2_1.ogg,"{Frowns, getting complicated}Dog hears many voices... one in air. {Scared, thinking about God}The... other one. {Brightens up a bit}And Master. Master is the nicest. {Frowns}Gets mean, mad sometimes. But lets Dog feed."
nvdlc01creatureuniquegod,deadmoney.esm\nvdlc01creatureuniquegod\nvdlc01dog_nvdlc01dogdialo_00012241_1.ogg,"{God Calm, trying to make sense of this}I don't know you, yet I feel like I do, and a feeling of... gratitude. I... {beat, slowly realizes he's in pain}forgive me, I... I'm wounded. This chain... this bear trap on my arm..."
nvdlc01femaleuniquechristine,deadmoney.esm\nvdlc01femaleuniquechristine\nvdlc01rad_nvdlc01radiochr_000108d0_1.ogg,"<AUDIO: Needs radio filter for this, and ambient sounds outside suites after Christine has been saved and is speaking to herself.>{Mikey, we'll dupe Christine's radio barks while she's in the Exec Suites with her voice back and add a filter.}"
nvdlc01maleuniquedean,deadmoney.esm\nvdlc01maleuniquedean\nvdlc01dea_nvdlc01deanthea_00010c62_1.ogg,"{Encouraged}Hey, you're making real progress, good. {Realizes the player's close to uncovering dirty laundry, so masks it behind ""show some respect""}Uh, look that's... Vera's room, so careful what you touch in there, be respectful."
nvdlc01maleuniqueelijah,deadmoney.esm\nvdlc01maleuniqueelijah\nvdlc01eli_nvdlc01elijahdi_00011c67_4.ogg,"{Eyes stare off in the distance, remembering a powerful moment}I heard the signal. The woman's voice, the Sierra Madre, promising a chance to begin again, reverse my fortunes. {Tries to blow off the slogan, fails because he believes}All... nonsense."
nvdlc02deadhorsefemale,honesthearts.esm\nvdlc02deadhorsefemale\nvdlc02mq0_nvdlc02mq01nvdl_00010bc3_1.ogg,"{Repeating himself; ""Outsider seeks Joshua Graham?""}{AUS-land-er ZOOK-uh Joshua Graham?}Owslandr utman zookuh Joshua Graham? {Searching for english words}You look for Joshua Graham?"
nvdlc02deadhorsemale,honesthearts.esm\nvdlc02deadhorsemale\nvdlc02dea_playerlaymine_0001024a_1.ogg,{a warning for white legs! Heh he!}A bil he neh fuhr jahd thli gai! Heh he!
nvdlc02femaleuniquestella,honesthearts.esm\nvdlc02femaleuniquestella\nvdlc02dia_nvdlc02openingc_0001007f_1.ogg,"{to yourself, under your breath}{continuing imaginary conversation with Jed, mocking him}""That's right, little lady. Everything will be just fine with Jed to protect you. Quite the leader is what I am, hell yes."""
nvdlc02femaleuniquewakingcloud,honesthearts.esm\nvdlc02femaleuniquewakingcloud\nvdlc02dia_nvdlc02dialogue_0000f301_1.ogg,"The lone Bighorner is the most vulnerable to its enemies. In the herd lies strength - if you reconsider your choice, I will be here. {in peace, go}{PAHZ pah-tah-soo-ba}Paz patasooba."
nvdlc02maleuniquedaniel,honesthearts.esm\nvdlc02maleuniquedaniel\nvdlc02dia_nvdlc02dialogue_000093af_3.ogg,Don't worry. I don't hold it against you. You're a - {stops himself from saying Gentile} an outsider. Fighting seems like the practical solution. But there's more than that at stake.
nvdlc02maleuniquefollowschalk,honesthearts.esm\nvdlc02maleuniquefollowschalk\nvdlc02dia_nvdlc02dialogue_0000bd41_1.ogg,"{Bewildered - doesn't really understand how this is a question, like ""Why is it important to breathe?""}Well... because they're our enemies. What else would we do? They take our land, they kill our scouts, they poach our hunting grounds."
nvdlc02maleuniquejed,honesthearts.esm\nvdlc02maleuniquejed\nvdlc02dia_nvdlc02ambushje_0000fff6_1.ogg,"{Jed becomes alerted by a sound ahead of the party. Stops dead on his tracks, cautious.} Shhhhh! Hold on, now...{finger to his lips, he shushes the rest of the crew.} Could swear I heard something up ahead."
nvdlc02maleuniquejoshua,honesthearts.esm\nvdlc02maleuniquejoshua\nvdlc02dia_nvdlc02dialogue_0000f4d6_1.ogg,"{referring to the parable of the good samaritan}You're a good neighbor to us. We all go through periods of darkness. In such times, we can turn to the Lord, but it's good to have friends."
nvdlc02maleuniquericky,honesthearts.esm\nvdlc02maleuniquericky\nvdlc02dia_nvdlc02dialogue_0000f5dc_2.ogg,"Basically, it makes me badass. {correcting yourself}More badass, I mean. It's totally mind-blowing shit. {until yesterday, you thought it was just a bracelet, but you don't want the player to know that}It ain't just some bracelet, know what I mean?"
nvdlc02maleuniquesaltuponwounds,honesthearts.esm\nvdlc02maleuniquesaltuponwounds\nvdlc02end_nvdlc02endingwh_0001011a_1.ogg,"{Narration - Crush the White Legs, SUW killed in combat}Despite their defeat at Three Marys, and the death of their war chief, the White Legs were determined to pursue the other New Canaanites."
nvdlc02sorrowsfemale,honesthearts.esm\nvdlc02sorrowsfemale\nvdlc02sor_combattonormal_000102ae_1.ogg,"{satisfied}{""Coward. Lucky I didn't kill you.""}{ko-BAR-ee. Wah for-TOO-ba may no ma-TAH-na KAH-tu}Cobar'e. Wa fortuba me no matanna katu."
nvdlc02sorrowsmale,honesthearts.esm\nvdlc02sorrowsmale\nvdlc02sor_combattonormal_000102ae_1.ogg,"{satisfied}{""Coward. Lucky I didn't kill you.""}{ko-BAR-ee. Wah for-TOO-ba may no ma-TAH-na KAH-tu}Cobar'e. Wa fortuba me no matanna katu."
nvdlc02whitelegsfemale,honesthearts.esm\nvdlc02whitelegsfemale\nvdlc02whi_playerinironsit_00010316_1.ogg,{don't point weapons at me.}{doan poin AI-tee Ai Mee!}Do'an poin aiti ay me!
nvdlc02whitelegsmale,honesthearts.esm\nvdlc02whitelegsmale\nvdlc02whi_playerinironsit_00010316_1.ogg,{don't point weapons at me.}{doan poin AI-tee Ai Mee!}Do'an poin aiti ay me!
nvdlc03autodocvoicesinkmale,oldworldblues.esm\nvdlc03autodocvoicesinkmale\nvdlc03dia_greeting_0000f60e_1.ogg,"{Groggy, as though being woken up for the first time in a long while}Hmph... well how about that? Old Auto-Doc's back on-line. Well, all right, come here, let's have a look at you."
nvdlc03berserksecuritron,oldworldblues.esm\nvdlc03berserksecuritron\nvdlc03gen_combattonormal_00015eaf_1.ogg,#^@ = ((..<<>>..)) = #^@ !?!
nvdlc03bioresearchlabvoicesinkmale,oldworldblues.esm\nvdlc03bioresearchlabvoicesinkmale\nvdlc03dia_greeting_0000f054_1.ogg,"{Groggy, as though waking up from a night of hot sex and looking for more}Ooh... oh yeah, baby, feels good to be on-line again! Yeah, all circuits on-line... ready to receive your seed."
nvdlc03bookchutevoicesinkmale,oldworldblues.esm\nvdlc03bookchutevoicesinkmale\nvdlc03dia_nvdlc03dialogue_000128e5_2.ogg,"Wait a moment - pencil processors off-line? {Hysterical}Pencil processors off-line?! Apologies, Citizen, it seems traitors have absconded with that module."
nvdlc03corpsesuitvoice,oldworldblues.esm\nvdlc03corpsesuitvoice\nvdlc03gen_powerattack_00015e15_1.ogg,<Large number of bones rattling loudly>
nvdlc03femaleuniquechristine,oldworldblues.esm\nvdlc03femaleuniquechristine\nvdlc03hol_nvdlc03christin_0001460b_9.ogg,"{DUPE}{Cold, staring into future, slight bitterness}Make them walk the road west, straight and true, sink their feet in Old World ash. Let storms tear at them. See the Divide. See what happened."
nvdlc03femaleuniquedala,oldworldblues.esm\nvdlc03femaleuniquedala\nvdlc03dia_greeting_0000f62f_3.ogg,"{Slowly analyzing the player, getting slightly turned on}Yet you have no such fear, facing me, epidermis flushed with blood, plasma running molten beneath, your face contorting with... muscular expression."
nvdlc03jukeboxvoicesinkmale,oldworldblues.esm\nvdlc03jukeboxvoicesinkmale\nvdlc03end_nvdlc03endingsl_0001600f_1.ogg,"{Narration}{3+ Sound effects gained}Blind Diode Jefferson, with sounds the Courier brought him, created a symphonic counter-frequency that saved Big {Mountain}MT from sonic invasion in 2910."
nvdlc03lightswitch01voicesinkfemale,oldworldblues.esm\nvdlc03lightswitch01voicesinkfemale\nvdlc03end_nvdlc03endingsl_00015fff_1.ogg,"{Narration}{Lightwave Dynamics Lab discovered}One of them eventually transferred to the Lightwave Dynamics Plant - and began a long, unrequited affair with one of the holograms."
nvdlc03lightswitch02voicesinkfemale,oldworldblues.esm\nvdlc03lightswitch02voicesinkfemale\nvdlc03end_nvdlc03endingsl_00016017_1.ogg,"{Narration}This persisted until the day someone dropped a flashlight in the Sink, and the two of them united in their hatred of the ""showboat."""
nvdlc03maincomputervoicesinkmale,oldworldblues.esm\nvdlc03maincomputervoicesinkmale\nvdlc03end_nvdlc03endingsl_0000d367_2.ogg,"{Narration}Now armed with the {Trans-portal-ponder, combination mish-mash of Transporter + Transponder}Transportalponder, the Courier could return to the Dome at any time and crack open the secrets of the Big Empty, one by one."
nvdlc03maleuniquedoc8,oldworldblues.esm\nvdlc03maleuniquedoc8\nvdlc03dia_nvdlc03dialogue_000160be_1.ogg,@@[$((*&^#%]@@. @@[$######$]@@. @@[$######$]@@. @@[$######$]@@... @@[$######$]@@.
nvdlc03maleuniquedocborous,oldworldblues.esm\nvdlc03maleuniquedocborous\nvdlc03dia_nvdlc03dialogue_00011940_2.ogg,"-{Thinking back, fondly, then starts to gets confused as the emotion hits him}And... no matter how chemmed the food, he would always eat it. And his tail, would wag... even...even while I... I...-"
nvdlc03maleuniquedoco,oldworldblues.esm\nvdlc03maleuniquedoco\nvdlc03end_nvdlc03endingsl_0001600d_1.ogg,"{Narration}{X-13 was repeated}{Sexually suggestive, as if the center blew its load into the suit tech}The infiltration program in X-13 felt spent, having repeatedly upgraded the Stealth Suit until it could upgrade it no more."
nvdlc03maleuniqueklein,oldworldblues.esm\nvdlc03maleuniqueklein\nvdlc03dia_nvdlc03dialogue_00012d13_1.ogg,"{Irritated}WHAT IS IT? {Explaining his irritation, more insistent, quieter}THE LOBOTOMITE IS {emph}ASKING ME THINGS, O, AND I AM TRYING TO IGNORE THEM. MY PROCESSORS CAN'T IGNORE YOU {emph}BOTH AT THE SAME TIME."
nvdlc03maleuniquemobius,oldworldblues.esm\nvdlc03maleuniquemobius\nvdlc03dia_attack_00015ee8_1.ogg,"{Disdainful, setting up as a cliche, then goes in a different direction}So, you think you're a match for Science?! {Beat, to himself}You two couldn't possibly have a relationship, you have {emph}nothing in common."
nvdlc03maleuniqueulysses,oldworldblues.esm\nvdlc03maleuniqueulysses\nvdlc03hol_nvdlc03christin_0001460b_1.ogg,"{DUPE}{Quiet, Ulysses has just entered}...didn't think you'd make it back."
nvdlc03muggyvoicesinkmale,oldworldblues.esm\nvdlc03muggyvoicesinkmale\nvdlc03dia_nvdlc03dialogue_000128e8_2.ogg,"They made me just to torture me. But you know, it's the neglect that hurts the most. {If you can do an impression of Dr. Klein here, awesome}""Hey everybody, let's turn ourselves into robot brains in jars!"""
nvdlc03playersbrainvoice,oldworldblues.esm\nvdlc03playersbrainvoice\nvdlc03dia_nvdlc03dialogue_00015771_1.ogg,"Oh yes, I rather expect we will. We'll be having a {emph}very long talk about crawling through old ruins, haring off on missions of revenge. {Beat, these are the worst of all}And Cazadores."
nvdlc03sinkvoicesinkfemale,oldworldblues.esm\nvdlc03sinkvoicesinkfemale\nvdlc03end_nvdlc03endingsl_0001600b_1.ogg,"{Narration}{Magnetohydraulics Plant discovered}Eventually, it gained access to the {Mag-neat-o-Hydraulics}Magnetohydraulics Plant and nearly flooded all the Big Empty in an attempt to scrub the crater clean."
nvdlc03stealthsuitvoice,oldworldblues.esm\nvdlc03stealthsuitvoice\nvdlc03aur_stealthsuitx13t_000137f6_1.ogg,"This is the robot compliance test. If you sneak up on a robot, you can disable it. It's so easy even I can't mess up."
nvdlc03toastervoicesinkmale,oldworldblues.esm\nvdlc03toastervoicesinkmale\nvdlc03end_nvdlc03endingsl_00016023_1.ogg,"{Narration}{Good or Neutral Karma}After one of its more psychotic episodes, however, the other Sink personalities decided enough was enough, and dumped the Toaster in a bathtub."
nvdlc03x8robobrain,oldworldblues.esm\nvdlc03x8robobrain\nvdlc03x8r_nvdlc03x8robobr_00015a93_1.ogg,"{Innocent voice, waking up}What... I feel like this has happened before. Yet I feel awake for the first time? What is going on?"
nvdlc04femaleadult01,lonesomeroad.esm\nvdlc04femaleadult01\nvdlc04dia_nvdlc04edeaudio_000088aa_1.ogg,"Ah, Whitley, there you are. Orders from Colonel Autumn - he feels the Eyebot Duraframe project isn't advancing quickly enough. I'm to-{improve this robot}{No sound file}"
nvdlc04maleadult01,lonesomeroad.esm\nvdlc04maleadult01\nvdlc04dia_nvdlc04edeaudio_000088a2_1.ogg,"{Audio should cut in abruptly here}All due respect sir, I think you're making a mistake. We're close to a breakthrough with the Duraframe Eyebots, I can feel it! {Pause, this is one half of a telephone conversation}Yes, sir.{No sound file}"
nvdlc04malechild01,lonesomeroad.esm\nvdlc04malechild01\nvdlc04dia_greeting_00004cd6_1.ogg,"{This should sound like glitchy audio, cutting in and out, from multiple sources}<Music{Reminiscent of ED-E's fight music}>... RALPHIE... fly far, fly fast! {No sound file}"
nvdlc04maleuniqueulysses,lonesomeroad.esm\nvdlc04maleuniqueulysses\nvdlc04dia_nvdlc04dialogue_0000d73f_1.ogg,"{Disgust, bitter, implication is that he wanted to die there}Should've died there... but now that I know you live... {bitter}the machines here... {implied quotes}saved me. I was the only survivor, {to himself}or thought I was."
nvdlc04robotede,lonesomeroad.esm\nvdlc04robotede\nvdlc04end_nvdlc04endingsl_0000d091_3.ogg,"{Narration}Not long after the Courier left the facility, the Eyebot's data banks were wiped, and it was disassembled as rapidly as it had been constructed."
playervoicefemale,falloutnv.esm\playervoicefemale\genericpla_playerentersiro_0015d877_1.ogg,{Quick Exhales}
playervoicemale,falloutnv.esm\playervoicemale\genericpla_playerentersiro_0015d877_1.ogg,{Quick Exhales}
robotede,falloutnv.esm\robotede\vending_vendingede_0016342d_1.ogg,"{Narrating ED-E Resolved With Brotherhood - dismissed}With its logs cleared and its systems upgraded ED-E is discovered by a traveling caravan, who take him on as a protector as they wander the wastes."
roboteyebot,falloutnv.esm\roboteyebot\repconhqfr_repconhqgreetin_000e7a0a_1.ogg,Unauthorized facial pattern detected. Valid security badge detected. Temporary access granted. Please complete employee registration with security.
robotfestus,falloutnv.esm\robotfestus\vfreeforms_sshqfestusdepos_0010595a_17.ogg,"The saloon owner went on to become rich selling the new drink, and to this day some bottles of Sunset Sarsaparilla have a blue star under their caps."
robotlibertyprime,fallout3.esm\robotlibertyprime\freeformci_citadelprimevoi_0006dd17_1.ogg,Primary Targets: Any and all Red Chinese invaders. Emergency Communist Acquisition Directive: Immediate Self-Destruct -- Better Dead than Red.
robotmistergutsy,oldworldblues.esm\robotmistergutsy\nvdlc03end_nvdlc03endingsl_00016018_1.ogg,"{Narration}{Rex not dead, not available}{Done with barking}There, she ran across Rex at the Kings School of Impersonation. His brain was failing. That was all right, he was still smarter than the Think Tank."
robotmistergutsydc,fallout3.esm\robotmistergutsydc\genericrobot_ms14suitstart_0007836b_1.ogg,"Listen up you god-damn puke! You are now wearing prototype medic power armor. You take care of me, and I'll take care of you."
robotmisterhandy,falloutnv.esm\robotmisterhandy\repconhqfr_repconhqtour06_000ea53c_1.ogg,"Around you are the incredible Eyebot, the fearsome Sentry Bot, and the {chuckles}always-helpful Mr. Handy. That helpfulness runs through our whole line!"
robotmisterhandydc,fallout3.esm\robotmisterhandydc\cg04_hello_000569ac_1.ogg,"Tsk tsk tsk. I’m afraid you’ve missed him. I believe he’s gone topside for a spot of fresh air! Should be back any moment, I’d imagine!"
robotprotectron,falloutnv.esm\robotprotectron\radionewve_rnvnewsstory2_0014dfbb_1.ogg,{Primm Slim:}Loading Public Appeasement Oration... complete. Howdy... citizens. How about a yee-haw for law and order in the fine town of ERROR: TOKEN NOT FOUND?
robotprotectrondc,falloutnv.esm\robotprotectrondc\genericrob_normaltocombat_000819f2_1.ogg,Attention. This is now a combat zone. You may suffer harm up to and including death if you remain in the area. This notice required by law.
robotrobobrain,falloutnv.esm\robotrobobrain\genericrobot_guardtrespass_00081953_1.ogg,"I don't mean to be rude, but you're not allowed here. You'd better leave before I'm forced to take preventive measures."
robotrobobraindc,falloutnv.esm\robotrobobraindc\genericrobot_guardtrespass_00081953_1.ogg,"I don't mean to be rude, but you're not allowed here. You'd better leave before I'm forced to take preventive measures."
robotsentrybot,falloutnv.esm\robotsentrybot\vfreeformv_v22kochgreeting_000fe6c8_5.ogg,"Warning! Primary defensive objective, designation Keely, taken by unknown hostile entities. Initiating full countermeasures."
robotsentrybotdc,falloutnv.esm\robotsentrybotdc\genericrobot_alertidle_00080d95_1.ogg,Alert. Non-combatants are advised to leave the area. Security sweep in progress. Lethal force may be used without warning.
robotuniquerex,falloutnv.esm\robotuniquerex\vdialoguer_vdialoguerexrex_0015ba65_1.ogg,"{no VO}[Rex's bodywork is battered, scorched, and scratched. It's remarkable that the biological part of him survived at all.]"
robotvictor,falloutnv.esm\robotvictor\vfreeformh_vfreeformhoover_00159b39_1.ogg,"{Kimball alive, Oliver dead}{A little reassuring}No need to worry about the General's ""accident,"" by the way. A mercy, really, sparing him the disgrace of {emphasis}surviving his nation's defeat..."
